A,79,88,53,85,50
B,38,93,50,61,25
C,42,78,20,78,60
D,80,64,37,22,19
E,83,52,59,85,67
F,66,1,6,65,19
G,50,60,27,6,5
H,58,21,34,65,4
I,76,38,64,98,28
J,82,20,19,88,48
K,70,60,5,40,38
L,38,92,15,82,78
M,81,68,82,72,84
N,70,14,18,59,75
O,32,67,26,39,16
P,8,96,67,64,44
Q,3,1,38,1,54
R,57,0,91,33,86
S,42,32,20,6,44
T,22,13,75,83,9
U,87,74,83,1,45
V,13,23,70,64,92
W,40,47,13,12,9
X,96,68,82,34,91
Y,84,74,4,84,8
Z,9,57,14,39,88
AA,17,24,97,71,20
AB,69,76,57,69,38
AC,56,34,28,29,12
AD,72,88,54,27,3
AE,91,18,52,5,58
AF,97,83,75,93,72
AG,85,69,85,79,6
AH,58,13,41,65,43
AI,30,70,82,76,1
AJ,54,20,80,24,80
AK,14,27,20,3,49
AL,15,49,10,44,22
AM,21,28,78,83,13
AN,97,90,90,54,54
AO,57,48,74,52,3
AP,82,82,53,62,83
AQ,18,71,6,44,92
AR,12,60,84,18,30
AS,55,96,19,37,15
AT,22,20,32,25,90
AU,89,20,68,70,32
AV,26,27,47,92,80
AW,35,46,45,57,24
AX,32,79,46,58,13
AY,19,47,61,81,60
AZ,5,75,43,49,48
